age,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20
100,27.14228475503453,22.71693476038861,25.18953547471327,20.54483464630341,26.387357536963613,22.212384831802975,23.767075879494353,23.710952775602404,22.73127226937669,26.197432061015917,24.220988092651872,22.22624918333181,27.70434359847993,20.48947141866507,28.325533179175366,26.67417167717474,29.79153876074395,27.415480900276957,24.472953422581774,20.918721718272497
200,27.181903247850276,22.77292873861164,28.364102702304397,24.228295621102852,29.810869326855794,24.423147453092305,26.78188399073253,26.862511720310675,26.292706121664015,27.56807023017744,26.277791970649666,25.14836949086508,28.554080077631944,21.813968183191882,28.734987071654466,29.73091295257471,30.104594254905138,30.130324804826433,26.760824034648188,23.209275100876454
300,28.937764883617422,24.293963964305668,30.76519004369762,27.268925490196825,29.88129245155818,27.541800027476764,30.630464799350534,27.92739210001245,28.490138774047487,28.847783087122643,30.057974489284497,27.61542164906896,30.967368255385896,25.23088927076193,30.454507256147057,31.242474642800723,31.20041646176184,30.633850783223274,28.994133568141805,23.907560442216873
400,32.10885960321164,24.448980486709093,33.421031113610866,31.148893718911363,31.6829521489759,29.45315590929193,31.762857420621707,31.79033226701449,28.58402696193546,30.89930524934613,30.880045016166385,31.2625921602115,33.94746723514397,28.3120387922492,33.507180336310306,34.267987422959415,33.624421946307095,33.92149638512993,30.869168166829745,25.30469708579302
500,34.58510277720909,27.597568062998377,33.944736102894296,32.112622322334936,35.53327154175467,32.86001091054931,33.92599670177662,33.806835351558306,29.773469491367226,32.653212485349634,32.98354004658306,32.37335522787696,35.10549426641006,31.18603331996386,36.15113678123287,37.271653762446505,36.210555573055125,34.34445636149164,30.994244155984475,27.414595951183806
600,38.17961200478199,29.491570008034618,36.88499906637053,32.79355719735993,35.57836901281881,36.16707264239764,37.68775674860743,35.88366440645124,29.85903380193224,33.51519546747072,35.44289798749168,34.55209477136378,36.2973823187275,34.028061869086294,36.81412805199906,37.332064579192874,36.94254737309044,37.650050687148216,32.46123393214804,27.865228749952845
700,39.43911739917307,32.6184288149154,40.75129509240033,34.60695369058219,38.65537507887721,36.45987304002595,41.38835239668593,36.880926696944535,31.95967676062873,36.64917799450482,36.68888191369669,35.78804636410126,39.25165417198608,34.23222869838109,40.4768165653563,38.830578250112424,37.9128858616313,38.231608036135796,33.164185830440175,30.33801902953777
800,42.27460738454501,36.072225090023935,43.74472623898655,34.911210795228506,41.54798677656985,38.58665924312224,43.967914518589595,39.75256682504045,32.35141436995189,37.207921678488816,40.37304872238514,37.608404095149,41.25231397045009,37.74458711818875,41.36499972678733,41.37969567557361,41.35462188033679,39.136292612184896,34.05062487785003,33.82345672437699
900,45.2844498826303,39.77763493439163,47.674724977377636,36.23590072503664,43.22815877773286,41.6044266022749,47.691107742925354,41.78179018434186,35.52640153938956,37.923140145514814,40.73091318861448,39.69520932972385,42.739292360362086,38.648337681030185,42.40433051361175,43.521554573906855,43.92443865569814,39.47251349638587,37.91613975449972,37.08173547983909
1000,45.353094651949704,43.220044307926386,49.54196161478014,37.80571458359148,44.57121094403444,42.451963600893684,50.13716814378719,44.293769793919004,37.415624828903034,41.71651910308894,43.874597993203885,40.675106002322664,43.16213914177793,42.304394400983554,43.097942428280746,44.32209351951012,45.53590596973237,41.91261655636707,41.85763596628119,40.05135442469025
1100,49.004307543211745,47.13282119459244,52.29392035920864,39.9548422602898,47.781463484394415,45.451188637552626,50.84281937810246,45.022783081393364,40.50016429307938,42.183047289545605,44.19193675814823,44.63799665877496,44.79457082966418,42.643894659986216,45.179753572397445,47.346705857460776,48.49706878100905,44.99747709882175,42.591088932743034,41.08838492336466
1200,50.781967719158345,50.041297489625585,52.88620282852455,43.47715960164793,50.977265432086156,48.603468241967995,53.70855340551951,45.8405260069936,40.85130573540601,42.635847485035576,45.7841868510716,44.99885534983225,45.15992632822384,43.94149199906672,48.70207905641103,47.42209873143592,50.36730508737327,48.044728831728705,44.94229269238294,41.327020773741644
1300,51.11589535344022,50.35788217155026,56.23254934957737,43.51755220831997,52.316163129987636,49.668184942201755,54.00733479234493,47.848147268577,43.52743248136692,43.35925060141301,48.71189408454667,48.562031429153805,47.98001299774351,46.72367863876048,50.89134606348027,50.276962672118074,52.31351856831916,51.58196085212073,48.25087310067861,44.08319145587149
